CUST_ID,CUST_TYPE,BUSI_CODE,CONF_AMTS,GENDER,NET_CODE,RISK_LEV,CONF_YEAR,CONF_MONTH,CONF_DAY,AGE,TELL_PREFIX,COUNTY_PROV,COUNTY_CITY,COUNTY_DIST,FUND_CODE_FREQ,target
88448,1,5,8.956851725232219e-08,2.0,3,0.8,2024,6,7,0.1724137931034483,1366990,31,01,04,0.0033947404155162267,0
369000530278,1,5,8.956851725232219e-08,2.0,1,0.6000000000000001,2024,6,7,0.31034482758620685,1867583,51,13,03,0.005929479925768343,0
369000530179,1,2,1.1432883816155414e-05,1.0,1,1.0,2024,6,7,0.08620689655172409,1882679,31,01,13,0.0012221065495858416,0
369001190025,1,2,8.212313425572291e-08,1.0,1,1.0,2024,6,7,0.15517241379310343,1661363,31,01,01,9.052641108043272e-05,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.000633684877563029,1
88448,1,5,8.956851725232219e-08,2.0,3,0.8,2024,6,7,0.1724137931034483,1366990,31,01,04,0.006608428008871588,0
369000450456,1,5,3.3588193969620824e-08,2.0,1,0.6000000000000001,2024,6,7,0.6206896551724137,1381550,43,01,05,0.017743176571764812,0
369000450456,1,5,8.956851725232219e-08,2.0,1,0.6000000000000001,2024,6,7,0.6206896551724137,1381550,43,01,05,0.017743176571764812,0
369000460487,1,5,3.3588193969620824e-08,2.0,1,0.8,2024,6,7,0.48275862068965514,1399808,32,01,02,0.017743176571764812,0
369001230019,2,1,0.0002798792242841938,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0016294753994477889,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.000633684877563029,1
88448,1,5,8.956851725232219e-08,2.0,3,0.8,2024,6,7,0.1724137931034483,1366990,31,01,04,0.008011587380618296,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.014122120128547504,1
